ITEM_CODE','START_DATE','END_DATE',AMOUNT',STATE'
'70438',12/27/2021,12/31/2099,136.2,PA
'70439',12/27/2021,12/31/2099,81.1,PA
'70441',12/27/2021,12/31/2099,470.69,PA
'70446',5/21/2022,12/31/2099,17.78,PA
'70447',5/7/2022,12/31/2099,43.29,PA
'70448',5/7/2022,12/31/2099,33.93,PA
'70449',5/7/2022,12/31/2099,72.54,PA
'70451',12/27/2021,12/31/2099,9.85,PA
'70452',4/9/2022,12/31/2099,59.73,PA
'70453',12/27/2021,12/31/2099,9.85,PA
'70454',12/27/2021,12/31/2099,9.85,PA
'70455',2/3/2022,12/31/2099,29.05,PA
'70457',1/6/2022,12/31/2099,36.95,PA
'70458',1/6/2022,12/31/2099,43.66,PA
'70461',1/6/2022,12/31/2099,18.13,PA
'70463',5/7/2022,12/31/2099,31.2,PA
'70466',1/6/2022,12/31/2099,18.13,PA
'70469',5/7/2022,12/31/2099,34.68,PA
'70471',1/6/2022,12/31/2099,18.13,PA
'70476',5/7/2022,12/31/2099,39.22,PA
'70477',1/6/2022,12/31/2099,32.92,PA
'70479',5/21/2022,12/31/2099,19.87,PA
'70483',1/10/2022,12/31/2099,19.87,PA
'70488',1/6/2022,12/31/2099,18.13,PA
'70489',1/7/2022,12/31/2099,46.01,PA
'70500',1/7/2022,6/17/2022,13.89,PA
'70500',6/18/2022,12/31/2099,16.26,PA
'70502',1/6/2022,12/31/2099,28.12,PA
'70505',1/10/2022,12/31/2099,15.65,PA
'70506',1/7/2022,6/17/2022,35.89,PA
'70506',6/18/2022,12/31/2099,46.03,PA
'70507',1/10/2022,12/31/2099,152.43,PA
'70508',1/7/2022,12/31/2099,16.71,PA
'70509',1/10/2022,12/31/2099,15.65,PA
'70516',1/10/2022,12/31/2099,101.91,PA
'70517',1/6/2022,12/31/2099,18.13,PA
'70518',1/6/2022,12/31/2099,18.13,PA
'70519',1/6/2022,12/31/2099,18.13,PA
'70521',1/10/2022,12/31/2099,19.87,PA
'70522',1/10/2022,12/31/2099,15.65,PA
'70523',1/10/2022,12/31/2099,160.72,PA
'70525',1/7/2022,12/31/2099,83.35,PA
'70526',5/6/2022,12/31/2099,152.88,PA
'70527',1/7/2022,12/31/2099,24.55,PA
'70531',5/6/2022,12/31/2099,152.88,PA
'70532',1/10/2022,12/31/2099,16.82,PA
'70533',2/24/2022,12/31/2099,12,PA
'70534',1/6/2022,12/31/2099,18.13,PA
'70536',2/21/2022,12/31/2099,20.99,PA
'70539',1/10/2022,12/31/2099,12.99,PA
'70541',5/7/2022,12/31/2099,35.63,PA
'70542',1/6/2022,12/31/2099,22.32,PA
'70544',5/7/2022,12/31/2099,20.94,PA
'70545',5/7/2022,12/31/2099,30.11,PA
'70546',4/16/2022,12/31/2099,122.1,PA
'70547',1/6/2022,12/31/2099,18.69,PA
'70549',1/6/2022,12/31/2099,18.13,PA
'70550',1/7/2022,12/31/2099,26.34,PA
'70551',1/7/2022,12/31/2099,46.01,PA
'70553',5/7/2022,12/31/2099,38.24,PA
'70555',1/10/2022,12/31/2099,15.45,PA
'70558',1/10/2022,12/31/2099,14.32,PA
'70561',1/6/2022,12/31/2099,18.13,PA
'70563',1/18/2022,12/31/2099,27.99,PA
'70564',4/9/2022,12/31/2099,184,PA
'70567',1/10/2022,12/31/2099,19.87,PA
'70568',5/7/2022,12/31/2099,20.07,PA
'70576',1/7/2022,12/31/2099,24.55,PA
'70577',1/7/2022,12/31/2099,16.71,PA
'70579',1/10/2022,12/31/2099,15.49,PA
'70582',5/7/2022,12/31/2099,15.86,PA
'70583',1/10/2022,12/31/2099,12.99,PA
